iter	Logloss
0	0.6322757518
1	0.5835886406
2	0.5457790658
3	0.5163414153
4	0.4925562539
5	0.4728848016
6	0.454137544
7	0.4401923007
8	0.426859747
9	0.4179808778
10	0.4090397398
11	0.4009678013
12	0.3957642969
13	0.3898050989
14	0.3847176741
15	0.3799653434
16	0.376242882
17	0.3727561402
18	0.3703151836
19	0.3674337894
20	0.3650428935
21	0.3630352084
22	0.3609913111
23	0.3596523969
24	0.35819168
25	0.3566211503
26	0.3555066065
27	0.3542856155
28	0.3533128041
29	0.3521684077
30	0.3511167383
31	0.3502316824
32	0.3492415703
33	0.3486421708
34	0.3479570184
35	0.3471657025
36	0.3465853572
37	0.3459606124
38	0.345342388
39	0.3447820493
40	0.3442493496
41	0.3437905323
42	0.3434045807
43	0.3429470883
44	0.3424275185
45	0.3420158981
46	0.3413518688
47	0.3408750329
48	0.340589059
49	0.3403977491
50	0.3401656278
51	0.3397065472
52	0.3394182478
53	0.339114699
54	0.3386931369
55	0.338356633
56	0.3380818206
57	0.3377587021
58	0.3374944864
59	0.3372997341
60	0.3370168785
61	0.3367262765
62	0.3363981219
63	0.3360303004
64	0.3357074796
65	0.3354095987
66	0.3351806087
67	0.3348142946
68	0.3345806508
69	0.3343286125
70	0.3340529948
71	0.333827836
72	0.3336379905
73	0.3334753083
74	0.3332889197
75	0.3329252613
76	0.3326687733
77	0.3324339148
78	0.3322230453
79	0.3321673469
80	0.3319645604
81	0.3317638065
82	0.3314694651
83	0.3313915186
84	0.3311785794
85	0.3310439525
86	0.3308745118
87	0.33076402
88	0.330435598
89	0.3302112578
90	0.32987497
91	0.3296944038
92	0.3295777637
93	0.3294793432
94	0.3293625258
95	0.329234559
96	0.3290569671
97	0.3289385964
98	0.3288053411
99	0.328480253
100	0.3284005642
101	0.3281823245
102	0.3278524462
103	0.327660117
104	0.3274710185
105	0.3273002208
106	0.3271179107
107	0.3269877664
108	0.3268997847
109	0.3266400545
110	0.3264484437
111	0.3263452952
112	0.3261549084
113	0.3260149422
114	0.3256948671
115	0.3253721069
116	0.3252791834
117	0.3251074652
118	0.3250021172
119	0.3248944664
120	0.324716752
121	0.3245837783
122	0.3244071335
123	0.3242967217
124	0.3242153806
125	0.3241052532
126	0.3240404937
127	0.3238079296
128	0.3236880365
129	0.3234603597
130	0.3233036018
131	0.3232864345
132	0.3231418923
133	0.3228863842
134	0.3227848993
135	0.3226652703
136	0.3225163242
137	0.3224435166
138	0.3222633315
139	0.3221454649
140	0.3218968025
141	0.3218078214
142	0.3215960797
143	0.3214628036
144	0.3213718642
145	0.3210840357
146	0.320982163
147	0.3207264838
148	0.3206074061
149	0.3204571978
150	0.3203464193
151	0.3202000028
152	0.3201004288
153	0.3198264367
154	0.3197168596
155	0.3196502103
156	0.3194283457
157	0.3193188355
158	0.3192220971
159	0.3189920342
160	0.3188583775
161	0.318561731
162	0.318516938
163	0.3182059003
164	0.318048431
165	0.3177570338
166	0.3177088789
167	0.3175466525
168	0.3173897843
169	0.3173713249
170	0.3172848017
171	0.3170905579
172	0.3169027119
173	0.3168335313
174	0.3167597054
175	0.3167287091
176	0.3165052873
177	0.3164347671
178	0.3163118497
179	0.3160649259
180	0.315907579
181	0.3158787083
182	0.3158579164
183	0.3156178002
184	0.3156091507
185	0.3153298554
186	0.3152193684
187	0.315052322
188	0.3149107724
189	0.3147032569
190	0.3145374582
191	0.3145243295
192	0.3144913902
193	0.3142997005
194	0.3140755177
195	0.3140187117
196	0.3138505188
197	0.3136144115
198	0.3134446402
