iter	Logloss
199	0.3133794453
200	0.3132251499
201	0.3129662314
202	0.3128643162
203	0.3128244907
204	0.3127460114
205	0.3126276426
206	0.3123986498
207	0.3123691804
208	0.3121160778
209	0.3119407874
210	0.3119061797
211	0.3116792175
212	0.3115217194
213	0.3113424351
214	0.3111286779
215	0.3109414908
216	0.3108472754
217	0.3107847415
218	0.3105605785
219	0.3105129557
220	0.3103206
221	0.3102376875
222	0.3101616669
223	0.310010783
224	0.3099272318
225	0.3098549299
226	0.3097083961
227	0.3095510673
228	0.3093621352
229	0.309154531
230	0.308923993
231	0.3086648688
232	0.3084859538
233	0.3083834277
234	0.3082621644
235	0.3080733417
236	0.3079488921
237	0.3078863804
238	0.3076507515
239	0.3075623259
240	0.3074680127
241	0.3071935513
242	0.3071375173
243	0.3069514542
244	0.306889142
245	0.3067745519
246	0.3067066336
247	0.3064598065
248	0.3064270044
249	0.3063541017
250	0.3063304439
251	0.3062281794
252	0.306118785
253	0.3059960905
254	0.3059109386
255	0.3056500534
256	0.3055107087
257	0.3054170493
258	0.3053676064
259	0.3052631949
260	0.3051497099
261	0.3050800796
262	0.3050501116
263	0.3048511665
264	0.3046910133
265	0.3045469912
266	0.3044446549
267	0.304426254
268	0.3042494598
269	0.3041002112
270	0.3039593619
271	0.3039284669
272	0.3037395279
273	0.3036291467
274	0.3034981598
275	0.3033039404
276	0.3032150854
277	0.3030008764
278	0.3029488023
279	0.3028920691
280	0.3026784847
281	0.3026052603
282	0.3025081576
283	0.3024465495
284	0.302277042
285	0.3021340843
286	0.3020154061
287	0.3018387339
288	0.3017475972
289	0.3015893318
290	0.3014095562
291	0.3013038659
292	0.3011812174
293	0.3011412001
294	0.3009929131
295	0.3008380323
296	0.3006808241
297	0.3004884153
298	0.3004117031
299	0.3002752434
300	0.3001585302
301	0.3000750572
302	0.2999889695
303	0.2999369723
304	0.299823726
305	0.2996992869
306	0.2995064785
307	0.2994023724
308	0.2993352133
309	0.29927199
310	0.2991922095
311	0.2991004664
312	0.2989438664
313	0.2987482991
314	0.2985603114
315	0.2984609583
316	0.2982553911
317	0.2980794168
318	0.2979051414
319	0.2977093552
320	0.2976764938
321	0.2976220797
322	0.2974000554
323	0.2973669077
324	0.2973117702
325	0.2972146839
326	0.2970275744
327	0.2968414894
328	0.2966888371
329	0.2966041377
330	0.2964468689
331	0.2962976866
332	0.2961558151
333	0.2960599737
334	0.2958964498
335	0.2958443036
336	0.2957055348
337	0.2956598108
338	0.2954230029
339	0.295264538
340	0.2952017903
341	0.2950465688
342	0.2949895912
343	0.294777439
344	0.2946532096
345	0.2945184591
346	0.294352354
347	0.294286729
348	0.2941434809
349	0.2939936411
350	0.2938726771
351	0.2936418402
352	0.2934896254
353	0.2933444838
354	0.2932205928
355	0.2931110964
356	0.2928480506
357	0.2926089575
358	0.2924319196
359	0.2921824987
360	0.2921194097
361	0.2919890696
362	0.2918188585
363	0.2915605487
364	0.2914004066
365	0.2913137138
366	0.2912421225
367	0.2911097301
368	0.2909401441
369	0.2906985734
370	0.2904795858
371	0.2904353009
372	0.2901840893
373	0.2900243697
374	0.2899925315
375	0.2897804198
376	0.2896492258
377	0.2895300616
378	0.2893630327
379	0.2890697609
380	0.2889282533
381	0.2888698339
382	0.2886232416
383	0.2885357012
384	0.2884504658
385	0.2883099207
386	0.288224483
387	0.2880672309
388	0.2879114793
389	0.2878094286
390	0.2877145374
391	0.2877006534
392	0.2875533751
393	0.2874027913
394	0.2872364126
395	0.2870446118
396	0.2868506695
397	0.2867091702
398	0.2865036403
399	0.2863682771
400	0.2862524764
401	0.2860146044
402	0.2859044529
403	0.2858311134
404	0.285776313
405	0.2855972211
406	0.2855229116
407	0.2854551421
408	0.2853725936
409	0.2852536702
410	0.2850929798
411	0.2850295185
412	0.2850188819
413	0.284845587
